Calcium Indicator,Opsin,Filename,FrameRate,Stimulation Description,Comments,Group,ForRoi
Gcamp6s,no opsin expressed just GFP,FOV1_HD_001,,,HD image of the entire retinal ganglion cell layer,,
,,FOV1_holo_002,5.92,Different Holographic stimulations on the bipolar cell layer,Acquired on the entire rgc layer,,
,,FOV1_holo_003,5.92,,,,
,,FOV1_holo_004,5.92,,,,
,,FOV1_holo_005,5.92,,,,
,,FOV1_holo_006,5.92,,,,
,,FOV1_led_007,7.8,Euler Full Field Photoreceptors Stimulation,Acquired on a small FOV of 100 x 100 um in the center of the RGCs layer,,yes
,,FOV1_holo_008,5.92,Holographic stimulation on the BCs layer,Acquired on the entire rgc layer,,
,,FOV1_led_009,7.8,Moving Bars in eight directions around the center of the FOV,Acquired on a small FOV of 100 x 100 um in the center of the RGCs layer,,yes
,,FOV1_holo_010,5.92,Different Holographic stimulations on the bipolar cell layer,Acquired on the entire rgc layer,,
,,FOV1_holo_011,5.92,,,,
,,FOV1_holo_012,5.92,,,,
,,FOV1_holo_013,5.92,,,,
,,FOV1_holo_014,5.92,,,,
,,FOV1_holo_015,5.92,,,,
,,FOV1_holo_016,5.92,,,,
,,FOV1_holo_017,5.92,,,,
,,FOV1_led_hd018,,,HD image of the small central FOV of 100 x 100 um,,
,,APPLICATION OF LAP4 + LY341495 AT VERY LOW CONCENTRATION,,,,,
,,FOV1_hd019,,,HD image of the entire retinal ganglion cell layer after 1h20 of pharmacology application,,
,,FOV1_holo_020,5.92,Holographic stimulation,Acquired on the entire rgc layer after 1h20 of pharmacology application,,
,,FOV1_led_021,7.8,Euler Full Field Photoreceptors Stimulation,Acquired on the small central FOV after 1h 20 of pharmacology application,,
,,FOV1_holo_022,5.92,Holographic stimulation,Acquired on the entire rgc layer after 2h of pharmacology application,,
,,FOV1_led_023,7.8,Euler Full Field Photoreceptors Stimulation,Acquired on the small central FOV after 2h of pharmacology application,,
,,FOV1_holo_024,5.92,Holographic stimulation,Acquired on the entire rgc layer after 3h of pharmacology application,,
,,FOV1_led_025,7.8,Euler Full Field Photoreceptors Stimulation,Acquired on the small central FOV after 3h of pharmacology application,,
,,FOV1_holo_026,5.92,Holographic stimulation,Acquired on the entire rgc layer after 4h of pharmacology application,,
,,FOV1_led_027,7.8,Euler Full Field Photoreceptors Stimulation,Acquired on the small central FOV after 4h of pharmacology application,,
