Calcium Indicator,Opsin,Filename,FrameRate,Stimulation Description,Comments,Group,ForRoi
Gcamp6s,no opsin expressed just GFP,FOV1_hd_004,,,HD image of the entire retinal ganglion cell layer,,
,,FOV1-cntr_LED_005,7.8,Euler Full Field Photoreceptors Stimulation,the FOV is just a small FOV of 100x100 um (like the usual 4 squares are) taken in the center of the big FOV. This is the only FOV where the visual stimulation was performed in this experiment,,yes
,,FOV1_LED_HD_007,,,HD image of the small centered FOV of trace 005,,
,,FOV1_LED_008,7.8,Moving Bars in eight directions around the center of the FOV,Centered FOV,,yes
,,FOV1_HOLO_009,5.92,Different holographic stimulations on the bipolar cell layer,Acquired on the entire rgcs layer,,
,,FOV1_HOLO_010,5.92,,,,
,,FOV1_HOLO_011,5.92,,,,
,,FOV1_HOLO_012,5.92,,,,
,,FOV1_HOLO_013,5.92,,,,
,,FOV1_HOLO_014,2.96,,Acquire on a FOV of 256x256 pix,,
,,FOV1_HD_post015,,,hd of the entire rgcs layer before application of pharmacology,,
,,FOV1_HD_postdrug_30min016,,,hd of the entire rgcs layer after 30 minutes of LAP4 application,,
,,FOV1_HD_postdrug_30min017,,,like previous trace but for a different focus,,
,,FOV1_holo_postdrug_30min_018,5.92,Different holographic stimulations on the bipolar cell layer,Acquisition after 30 minutes of LAP4 application,,
,,FOV1_holo_postdrug_30min_019,2.96,,,,
,,FOV1_holo_postdrug_30min_020,2.96,,,,
,,FOV1_led_postdrug_30min_021,7.8,Euler Full Field Photoreceptors Stimulation,Acquisition after 30 minutes of LAP4 application in the central FOV (100x100 um),,
,,FOV1_hd_postdrug_1h15_022,,,hd of the entire rgcs layer after 1h15 of LAP4 application,,
,,FOV1_hd_postdrug_1h15_023,,,,,
,,FOV1_holo_postdrug_1h15_024,5.92,Different holographic stimulations on the bipolar cell layer,Acquisition after 1h15 of LAP4 application,,
,,FOV1_holo_postdrug_1h15_025,2.96,,,,
,,FOV1_led_postdrug_1h15_026,7.8,Euler Full Field Photoreceptors Stimulation,Acquisition after 1h15 of LAP4 application in the central FOV (100x100 um),,
,,FOV1_hd_postdrug_1h45_027,,,hd of the entire rgcs layer after 1h45 of LAP4 application,,
,,FOV1_holo_postdrug_1h45_028,5.92,Different holographic stimulations on the bipolar cell layer,Acquisition after 1h45 of LAP4 application,,
,,FOV1_holo_postdrug_1h45_029,2.96,,,,
,,FOV1_led_postdrug_1h45_030,7.8,Euler Full Field Photoreceptors Stimulation,Acquisition after 1h45 of LAP4 application in the central FOV (100x100 um),,
,,FOV1_hd_postdrug_2h15_031,,,hd of the entire rgcs layer after 2h15 of LAP4 application,,
,,FOV1_holo_postdrug_2h15_032,5.92,Different holographic stimulations on the bipolar cell layer,Acquisition after 2h15 of LAP4 application,,
,,FOV1_holo_postdrug_2h15_033,2.96,,,,
,,FOV1_led_postdrug_2h15_034,7.8,Euler Full Field Photoreceptors Stimulation,Acquisition after 2h15 of LAP4 application in the central FOV (100x100 um),,
